Date,Inflation,Inf_expec_K3,Inf_expec_K4,Inf_expec_K5,Inf_expec_K6,Unemployment,Unemp_expec_k3_mcmc,Unemp_expec_k3_est,Unemp_expec_k4_mcmc,Unemp_expec_k4_est,Unemp_expec_k5_mcmc,Unemp_expec_k5_est,Unemp_expec_k6_mcmc,Unemp_expec_k6_est
Q4 2017,0.66,0.82773251,1.04446618,0.8184,0.75469344,6.97,7.96505958,7.967611855,7.969679934,8.049135401,8.28259878,8.266102902,8.24547534,8.193672382
Q1 2018,0.69,0.82773251,1.04446618,0.8184,0.75469344,7.5,7.96505958,7.967611855,7.969679934,8.049135401,8.28259878,8.266102902,8.24547534,8.193672382
Q2 2018,0.69,0.82773251,1.04446618,0.8184,0.75469344,7.81,7.96505958,7.967611855,7.969679934,8.049135401,8.28259878,8.266102902,8.24547534,8.193672382
Q3 2018,0.75,0.82773251,1.04446618,0.8184,0.75469344,7.79,7.96505958,7.967611855,7.969679934,8.049135401,8.28259878,8.266102902,8.24547534,8.193672382
Q4 2018,0.61,0.82773251,1.04446618,0.8184,0.75469344,7.44,7.96505958,7.967611855,7.969679934,8.049135401,8.28259878,8.266102902,8.24547534,8.193672382
Q1 2019,0.23,0.22893129,-0.253125435,0.568,0.5644,7.49,7.96505958,7.967611855,7.969679934,8.049135401,8.28259878,8.266102902,8.24547534,8.193672382
Q2 2019,1.02,0.82773251,1.04446618,0.8184,0.75469344,7.57,7.96505958,7.967611855,7.969679934,8.049135401,8.28259878,8.266102902,8.24547534,8.193672382
Q3 2019,0.59,0.82773251,1.04446618,0.8184,0.75469344,7.63,7.96505958,7.967611855,7.969679934,8.049135401,8.28259878,8.266102902,8.24547534,8.193672382
Q4 2019,0.98,0.82773251,1.04446618,0.8184,0.75469344,7.5,7.96505958,7.967611855,7.969679934,8.049135401,8.28259878,8.266102902,8.24547534,8.193672382
Q1 2020,1.07,0.82773251,1.04446618,0.8184,0.75469344,8.71,7.96505958,7.967611855,7.969679934,8.049135401,8.28259878,8.266102902,8.24547534,8.193672382
Q2 2020,0.27,0.22893129,-0.253125435,0.568,0.5644,12.42,7.96505958,7.967611855,7.969679934,8.049135401,8.28259878,8.266102902,8.24547534,8.193672382
Q3 2020,0.34,0.22893129,-0.253125435,0.568,0.5644,12.59,7.96505958,7.967611855,7.969679934,8.049135401,8.28259878,8.266102902,8.24547534,8.193672382
Q4 2020,1.18,0.82773251,1.369500435,1.064834595,1.028792685,10.9,7.96505958,7.967611855,7.969679934,8.049135401,8.28259878,8.266102902,8.24547534,8.193672382
Q1 2021,1.14,0.82773251,1.04446618,0.8184,0.75469344,10.84,7.96505958,7.967611855,7.969679934,8.049135401,8.28259878,8.266102902,8.24547534,8.193672382
Q2 2021,0.9,0.82773251,1.04446618,0.8184,0.75469344,9.92,7.96505958,7.967611855,7.969679934,8.049135401,8.28259878,8.266102902,8.24547534,8.193672382
Q3 2021,1.59,0.82773251,1.369500435,1.064834595,1.028792685,8.81,7.96505958,7.967611855,7.969679934,8.049135401,8.28259878,8.266102902,8.24547534,8.193672382
Q4 2021,2.86,2.11,2.4,2.4025,1.963125,7.8,7.96505958,7.967611855,7.969679934,8.049135401,8.28259878,8.266102902,8.24547534,8.193672382
Q1 2022,2.73,2.11,2.4,2.4025,1.963125,8.16,7.96505958,7.967611855,7.969679934,8.049135401,8.28259878,8.266102902,8.24547534,8.193672382
Q2 2022,3.89,2.11,2.4,2.4025,2.4925,8.28,7.96505958,7.967611855,7.969679934,8.049135401,8.28259878,8.266102902,8.24547534,8.193672382
Q3 2022,3.53,2.11,2.4,2.4025,2.4925,8.37,7.96505958,7.967611855,7.969679934,8.049135401,8.28259878,8.266102902,8.24547534,8.193672382
Q4 2022,2.26,2.11,2.4,2.4025,1.963125,8.35,7.96505958,7.967611855,7.969679934,8.049135401,8.28259878,8.266102902,8.24547534,8.193672382
Q1 2023,1.64,0.82773251,1.369500435,1.064834595,1.028792685,8.99,7.96505958,7.967611855,7.969679934,8.049135401,8.28259878,8.266102902,8.24547534,8.193672382
Q2 2023,1.04,0.82773251,1.04446618,0.8184,0.75469344,8.94,7.96505958,7.967611855,7.969679934,8.049135401,8.28259878,8.266102902,8.24547534,8.193672382
Q3 2023,0.59,0.82773251,1.04446618,0.8184,0.75469344,9.33,7.96505958,7.967611855,7.969679934,8.049135401,8.28259878,8.266102902,8.24547534,8.193672382
Q4 2023,1.24,0.82773251,1.369500435,1.064834595,1.028792685,8.88,7.96505958,7.967611855,7.969679934,8.049135401,8.28259878,8.266102902,8.24547534,8.193672382
